window_start,window_end,raw_prediction,consensus_result,eq
2026-03-12 09:23:45.642,2026-03-12 09:24:00.111,positive,positive,E1
2026-03-12 09:24:00.111,2026-03-12 09:24:15.174,positive,positive,E1
2026-03-12 09:24:15.174,2026-03-12 09:24:31.141,neutral,positive,E1
2026-03-12 09:24:31.141,2026-03-12 09:24:46.197,positive,positive,E1
2026-03-12 09:24:54.642,2026-03-12 09:25:11.182,neutral,negative,E2
2026-03-12 09:25:11.182,2026-03-12 09:25:26.128,positive,positive,E2
2026-03-12 09:25:26.128,2026-03-12 09:25:41.182,positive,positive,E2
2026-03-12 09:25:41.182,2026-03-12 09:25:57.168,positive,positive,E2
2026-03-12 09:26:02.642,2026-03-12 09:26:17.127,neutral,negative,E7
2026-03-12 09:26:17.127,2026-03-12 09:26:34.124,positive,positive,E7
2026-03-12 09:26:34.124,2026-03-12 09:26:49.182,positive,positive,E7
2026-03-12 09:26:49.182,2026-03-12 09:27:04.095,neutral,positive,E7
2026-03-12 09:27:12.642,2026-03-12 09:27:27.182,neutral,negative,E15
2026-03-12 09:27:27.182,2026-03-12 09:27:42.120,positive,positive,E15
2026-03-12 09:27:42.120,2026-03-12 09:27:58.513,positive,positive,E15
2026-03-12 09:27:58.513,2026-03-12 09:28:13.158,neutral,positive,E15
2026-03-12 09:28:20.642,2026-03-12 09:28:37.126,neutral,negative,E16
2026-03-12 09:28:37.126,2026-03-12 09:28:52.263,neutral,negative,E16
2026-03-12 09:28:52.263,2026-03-12 09:29:07.117,positive,negative,E16
2026-03-12 09:29:07.117,2026-03-12 09:29:24.109,positive,positive,E16
2026-03-12 09:29:27.642,2026-03-12 09:29:42.136,positive,positive,E2
2026-03-12 09:29:42.136,2026-03-12 09:29:57.186,neutral,positive,E2
2026-03-12 09:29:57.186,2026-03-12 09:30:13.168,neutral,negative,E2
2026-03-12 09:30:13.168,2026-03-12 09:30:28.073,neutral,negative,E2
