window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 15:40:48.094,2026-03-13 15:41:13.777,neutral,negative,E1,實驗歌曲
2026-03-13 15:41:13.777,2026-03-13 15:41:27.703,neutral,negative,E1,實驗歌曲
2026-03-13 15:41:27.703,2026-03-13 15:41:42.756,neutral,negative,E1,實驗歌曲
2026-03-13 15:41:42.756,2026-03-13 15:41:58.731,neutral,negative,E1,實驗歌曲
2026-03-13 15:41:58.731,2026-03-13 15:42:13.690,positive,negative,E1,實驗歌曲
2026-03-13 15:42:22.093,2026-03-13 15:42:48.708,positive,positive,E2,實驗歌曲
2026-03-13 15:42:48.708,2026-03-13 15:43:00.683,neutral,negative,E2,實驗歌曲
2026-03-13 15:43:00.683,2026-03-13 15:43:16.657,positive,positive,E2,實驗歌曲
2026-03-13 15:43:16.657,2026-03-13 15:43:31.710,positive,positive,E2,實驗歌曲
2026-03-13 15:43:31.710,2026-03-13 15:43:46.659,positive,positive,E2,實驗歌曲
